titles,details
Volkswagen Golf VII Lim. Comfortline BMT *HU/AU*KLIMA*SHZ*,EZ 01/2016 • 156.770 km • 63 kW (86 PS) • Benzin
Volkswagen 1.4 Golf VII Comfortline BMT Anhängerkup. Euro6,Unfallfrei • EZ 09/2015 • 153.000 km • 92 kW (125 PS) • Benzin
Volkswagen Golf VII Variant Highline BMT R Line,Unfallfrei • EZ 09/2015 • 156.487 km • 110 kW (150 PS) • Benzin
Volkswagen Golf VII Variant Comfortline BMT KLIMAAUTO*SHZG*,Unfallfrei • EZ 12/2015 • 153.000 km • 81 kW (110 PS) • Benzin
Volkswagen Golf 7 Variant 1.6 TDI Comfortline 2.Hand*Navi*,EZ 11/2014 • 153.372 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Lim. Trendline BMT,EZ 06/2016 • 156.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII Variant Comfortline BlueMotion,Unfallfrei • EZ 03/2016 • 161.500 km • 85 kW (116 PS) • Benzin
Volkswagen Golf 7 Comfortline /Navi/ACC/LED/Klimaauto/PDC/,Unfallfrei • EZ 09/2017 • 162.000 km • 81 kW (110 PS) • Benzin
Volkswagen Golf Var. 1.6 TDI Trendline Navi PDC,EZ 09/2019 • 157.008 km • 85 kW (116 PS) • Diesel
Volkswagen Golf VII 1.6 TDI BMT ALLSTAR NAVI,EZ 06/2016 • 157.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Variant 1.4 TSI DSG Pano/Bi-Xenon/AHK,Unfallfrei • EZ 04/2014 • 150.000 km • 90 kW (122 PS) • Benzin
Volkswagen Caddy Kasten/Kombi 2xSchiebetür / Flügeltüren,EZ 03/2017 • 153.560 km • 55 kW (75 PS) • Diesel
Volkswagen Golf VII 1.4 TSI Highline BMT*BI-XENON/ALCANTARA,EZ 03/2014 • 150.000 km • 90 kW (122 PS) • Benzin
Volkswagen GOLF*1.6-TDI*ALLSTAR*DSG*KOMBI*GROßES-RADIO,Unfallfrei • EZ 09/2016 • 154.000 km • 81 kW (110 PS) • Diesel
Volkswagen Polo V Start-Stopp 1.2-PDC-Automatik-1.Hand,Unfallfrei • EZ 09/2015 • 156.059 km • 66 kW (90 PS) • Benzin
Mercedes-Benz B 180 CDI *Allwetter*NAVI*Sitzhzg*Park-Assist*,EZ 06/2015 • 152.000 km • 80 kW (109 PS) • Diesel
Volkswagen Golf VII Lim. 1.6TDI Allstar BMT Isofix PDC,EZ 06/2016 • 156.816 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII 1.2 TSI Cup BlueMotion,Unfallfrei • EZ 09/2014 • 154.711 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII Kombi DSG Automatik AHK abn. NAVI PDC,Unfallfrei • EZ 08/2014 • 153.990 km • 77 kW (105 PS) • Benzin
Volkswagen Golf 7 VII 1.2 TSI BMT Comfortline PANORAMA/SHZ,EZ 02/2013 • 152.000 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VII Lim. Cup BMT,Unfallfrei • EZ 05/2014 • 152.917 km • 90 kW (122 PS) • Benzin
Volkswagen Tiguan Trend & Fun BMT/SHZ/PDC/,EZ 02/2016 • 155.000 km • 92 kW (125 PS) • Benzin
Volkswagen Golf 1.4 TSI 92kW BMT CUP CUP,Unfallfrei • EZ 09/2014 • 154.004 km • 92 kW (125 PS) • Benzin
Volkswagen Golf VII Lim. BMT *2.HD~TÜV07/26~KLIMA*,Unfallfrei • EZ 06/2015 • 156.300 km • 63 kW (86 PS) • Benzin
Mercedes-Benz C 180 CGI AUTOMATIK/NAVI/TEMPOM/SITZHEIZ/GARANTI,Unfallfrei • EZ 11/2010 • 150.000 km • 115 kW (156 PS) • Benzin
"Volkswagen Polo V 1,6 TDI Life Bi-Xenon Sitzh. PDC Tempomat",Unfallfrei • EZ 07/2013 • 154.200 km • 77 kW (105 PS) • Diesel
Volkswagen Golf 1.4 TSI 90kW Highline Variant,Unfallfrei • EZ 06/2014 • 152.691 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Variant Trendline BMT/Start-Stopp,EZ 05/2019 • 160.500 km • 85 kW (116 PS) • Diesel
Volkswagen Golf Sportsvan VII Lounge NAVI*KLIMA*SHZ*TEPOMAT,EZ 02/2016 • 160.000 km • 81 kW (110 PS) • Benzin
Volkswagen Polo V Blue GT*DSG*150PS*Bi-Xenon*PDC*Sportsitze,Unfallfrei • EZ 01/2015 • 157.000 km • 110 kW (150 PS) • Benzin
Volkswagen Golf VII Variant Comfortline TGI BlueMotion/DSG/,Unfallfrei • EZ 09/2015 • 163.000 km • 81 kW (110 PS) • Benzin
"Mercedes-Benz Vito Kasten 111/114 CDI FWD lang Klima,AHK,TEMPO",Unfallfrei • EZ 02/2017 • 150.000 km • 84 kW (114 PS) • Diesel
Volkswagen Golf Sportsvan 1.2 TSI KLIMA/SH/MFL/ALCANTARA/BC,EZ 03/2015 • 154.277 km • 81 kW (110 PS) • Benzin
Volkswagen Golf Sportsvan VII Comfortline BMT/Start-Stopp,Unfallfrei • EZ 11/2014 • 156.327 km • 63 kW (86 PS) • Benzin
Volkswagen Caddy Nfz Maxi Kasten BMT/Klima/Aut-DSG/Eur6,EZ 09/2018 • 150.000 km • 75 kW (102 PS) • Diesel
Volkswagen Golf VII Variant Trendline BlueMotion,EZ 09/2015 • 154.764 km • 81 kW (110 PS) • Diesel
"Volkswagen up! move up! Bluetooth, SD-Karten, Aux",EZ 06/2018 • 150.000 km • 44 kW (60 PS) • Benzin
Volkswagen Golf Sportsvan 1.6 TDI 110PS 5-Gang/PDC v+h/AHK/,Unfallfrei • EZ 09/2016 • 150.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf 1.2 TSI DSG BMT CUP Variant CUP,Unfallfrei • EZ 03/2015 • 160.000 km • 81 kW (110 PS) • Benzin
BMW 318 d*Navi*Bi-Xenon*Sitzhzg*PDC*Tempomat*,Unfallfrei • EZ 09/2014 • 150.000 km • 105 kW (143 PS) • Diesel
Volkswagen Golf VII Lim. Lounge Edition SHZ/PDC/AHK,Unfallfrei • EZ 07/2015 • 162.000 km • 110 kW (150 PS) • Benzin
Volkswagen Golf Variant 1.0 TSI Comfortline Business 1e bes,EZ 03/2018 • 168.660 km • 81 kW (110 PS) • Benzin
Volkswagen Polo Trendline 1.0 NAVI KLIMA GRA eFH ZV MFL BLU,Unfallfrei • EZ 07/2020 • 154.400 km • 59 kW (80 PS) • Benzin
Volkswagen Golf VII Trendline*1.Hand*Scheckheft*PDC*Klima*,Unfallfrei • EZ 07/2018 • 169.000 km • 63 kW (86 PS) • Benzin
BMW 116i Advantage SHZ M-Sport Lenkrad ALU 17Zoll,EZ 06/2016 • 156.000 km • 80 kW (109 PS) • Benzin
"Volkswagen Golf VI Plus Life,Navi,AHK,SHZ.",Unfallfrei • EZ 10/2013 • 173.000 km • 77 kW (105 PS) • Diesel
Volkswagen Golf VII Variant Comfortline BMT *AHK*,EZ 03/2015 • 157.340 km • 90 kW (122 PS) • Benzin
Mercedes-Benz Citan Kombi 111 CDI lang 1.Hd/PANORAMA/AHK/TEMP,EZ 09/2017 • 150.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf Sportsvan Trendline BMT/Start-Stopp,EZ 09/2017 • 166.735 km • 63 kW (86 PS) • Benzin
Volkswagen Scirocco 1.4 TSI Navi Dynaudio -nur Gewerbe!,EZ 08/2016 • 153.000 km • 92 kW (125 PS) • Benzin
Mercedes-Benz A 180 BlueEfficiency*NAVI*KLIMA*SHZ*GARANTIE,EZ 10/2013 • 152.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Lim. Allstar *MFL*TEMPO*SHZ*PDC*XENON*,EZ 09/2016 • 161.000 km • 81 kW (110 PS) • Diesel
Volkswagen Touran Style BMT *7-Sitzer*Navi*PDC*,EZ 03/2012 • 165.959 km • 77 kW (105 PS) • Benzin
Volkswagen Golf Sportsvan VII Comfortl.Allstar NAVI ALU SHZ,EZ 06/2016 • 167.100 km • 92 kW (125 PS) • Benzin
"Volkswagen Golf VII Variant 1.6 TDI ""Cup""Standheizung*Klima",EZ 07/2014 • 152.500 km • 77 kW (105 PS) • Diesel
Volkswagen Golf VII Variant Comfortline-Edition BJ.2014 AHK,Reparierter Unfallschaden • EZ 01/2014 • 151.300 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Variant Comfortline BMT,Unfallfrei • EZ 06/2014 • 158.000 km • 77 kW (105 PS) • Benzin
"Volkswagen Golf VII Lim. Lounge BMT""Klim""PDC""Garantie",EZ 09/2015 • 163.000 km • 81 kW (110 PS) • Benzin
Volkswagen Polo Trendline 1.Hd.Klimaaut. SHZ NSW TOP,Unfallfrei • EZ 07/2017 • 152.000 km • 44 kW (60 PS) • Benzin
Volkswagen Polo V R-line Comfortline BMT/Start-Stopp,EZ 02/2016 • 150.000 km • 44 kW (60 PS) • Benzin
Volkswagen Golf 1.2 TSI BMT ALLSTAR,EZ 05/2016 • 163.000 km • 81 kW (110 PS) • Benzin
Volkswagen Golf VII Lim. Trendline BMT,Unfallfrei • EZ 10/2015 • 159.800 km • 63 kW (86 PS) • Benzin
Volkswagen Touran 1.2 TSI Trendline Navi AHK PDC SHZ,EZ 10/2016 • 158.619 km • 81 kW (110 PS) • Benzin
Volkswagen Golf Life 1.4 TSI TÜV 09.2026 Park Assist Sitzhe,EZ 03/2014 • 152.379 km • 90 kW (122 PS) • Benzin
Volkswagen Polo V Allstar BMT/Start-Stopp,Unfallfrei • EZ 08/2016 • 153.666 km • 55 kW (75 PS) • Benzin
Volkswagen Golf VII Variant Comfortline BMT*Navi*Auto.*SHZ*,Unfallfrei • EZ 09/2014 • 159.000 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT AUTOMATIC,EZ 06/2013 • 152.000 km • 103 kW (140 PS) • Benzin
Volkswagen Golf VII Variant BlueMotion*SHZ/TEMPOMAT/DAB/TOP,EZ 07/2015 • 159.000 km • 81 kW (110 PS) • Diesel
Volkswagen Tiguan Life BMT AHK/NAVI/Bi-Xenon,EZ 09/2013 • 156.950 km • 118 kW (160 PS) • Benzin
Volkswagen Golf VII Lim. BMT KLIMA*PDC*TEMPOMAT*ALLWETTER*,Unfallfrei • EZ 02/2013 • 156.800 km • 90 kW (122 PS) • Benzin
Volkswagen Golf 7,Unfallfrei • EZ 07/2015 • 161.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Variant Comfortline BMT Panoramadach,EZ 03/2016 • 167.000 km • 92 kW (125 PS) • Benzin
"BMW 116i F20 Navi, Klima, SHZ, 2.Hand",Unfallfrei • EZ 10/2016 • 158.368 km • 80 kW (109 PS) • Benzin
Volkswagen Passat Variant,Unfallfrei • EZ 07/2015 • 152.200 km • 90 kW (122 PS) • Benzin
Volkswagen Beetle Lim. Sport,Unfallfrei • EZ 09/2012 • 167.600 km • 147 kW (200 PS) • Benzin
Volkswagen Polo VI Comfortline*PDC*Navi*CarPlay,Unfallfrei • EZ 10/2019 • 155.000 km • 70 kW (95 PS) • Diesel
Volkswagen Polo V Allstar BMT/NAV/LED Scheinwerfer,EZ 02/2017 • 154.000 km • 55 kW (75 PS) • Benzin
Volkswagen up! *MOVE*R-KAM*SZHZG*WE CONNECT*ASSIST,EZ 04/2022 • 157.000 km • 48 kW (65 PS) • Benzin
BMW 116 Baureihe 1 Lim. 5-trg. 116i Advantage,EZ 12/2015 • 153.000 km • 80 kW (109 PS) • Benzin
"Volkswagen Golf VII Lim. Comfortline BMT 1,4 TSI NAVI*PARKP",EZ 07/2013 • 153.000 km • 90 kW (122 PS) • Benzin
Volkswagen Caddy Nfz Kasten BMT BT AUX USB,EZ 08/2017 • 153.975 km • 55 kW (75 PS) • Diesel
BMW 116 116d Advantage ALU TÜV04/26 PDC EU6 2HAND,Unfallfrei • EZ 04/2017 • 155.000 km • 85 kW (116 PS) • Diesel
Volkswagen Golf VII Lim. Trendline BMT*Panoramaglasdach*ACC,Unfallfrei • EZ 04/2013 • 151.000 km • 63 kW (86 PS) • Benzin
BMW 218i Gran Tourer Sport AHK Navi Klimaautomatik,EZ 06/2015 • 161.349 km • 100 kW (136 PS) • Benzin
Volkswagen Golf VII Comfortline BMT/SHZ/NAVI/BLUETOOTH,EZ 09/2014 • 155.450 km • 77 kW (105 PS) • Diesel
BMW 116 Baureihe 1 Lim. 5-trg. 116d/1Hand,Unfallfrei • EZ 03/2016 • 150.000 km • 85 kW (116 PS) • Diesel
Volkswagen Golf Variant Trendline BMT PDC SH BC TÜV NEU,Unfallfrei • EZ 10/2013 • 155.000 km • 77 kW (105 PS) • Benzin
Volkswagen Polo 1.2 TSI 66kW LOUNGE BMT LOUNGE BlueMoti...,EZ 04/2015 • 150.303 km • 66 kW (90 PS) • Benzin
"Volkswagen Golf VI 1,2 TSI Variant DSG Style Sitzheiz. PDC",EZ 05/2012 • 156.000 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VI Cabrio Cup *Navi*LED*PDC*SHZ*Klimaautom.,Unfallfrei • EZ 05/2014 • 154.900 km • 77 kW (105 PS) • Diesel
Volkswagen Golf VII Lim. Comfortline BMT,Unfallfrei • EZ 02/2017 • 168.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII Lim. Trendline BMT,Unfallfrei • EZ 06/2013 • 150.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf Sportsvan VII 1.4 Lounge TFL/SHZ/PDC/1-Hand,Unfallfrei • EZ 12/2015 • 155.600 km • 92 kW (125 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT*Xenon*PDC*Sitzheiz,Unfallfrei • EZ 06/2013 • 155.160 km • 90 kW (122 PS) • Benzin
Volkswagen Golf Cup BMT *Panorama*Navi*Temp.*Sitzheizung*,Unfallfrei • EZ 10/2014 • 162.000 km • 81 kW (110 PS) • Benzin
BMW 116 Baureihe 1 Lim. 3-trg. 116i Advantage,Unfallfrei • EZ 12/2015 • 150.200 km • 80 kW (109 PS) • Benzin
Volkswagen Golf VII Variant Allstar BMT,EZ 05/2016 • 164.000 km • 81 kW (110 PS) • Diesel
Volkswagen Polo 1.4 TDI DSG Comfortline PDC vo+hi GRA Klima,Unfallfrei • EZ 11/2014 • 158.000 km • 66 kW (90 PS) • Diesel
Volkswagen Golf VII Lim. Cup BMT PDC+SHZ+1.Hand,EZ 05/2014 • 157.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII Lim. *TÜV NEU~MJ2014~KLIMA~BI-XENON*,Unfallfrei • EZ 10/2013 • 156.000 km • 77 kW (105 PS) • Benzin
"Volkswagen Tiguan Sport & Style BMT /2.Hd., Scheckh. AHK.,",Unfallfrei • EZ 11/2013 • 151.020 km • 118 kW (160 PS) • Benzin
Volkswagen Golf Var. 1.6 TDI Trendline Navi Shz PDC Ahk,EZ 12/2018 • 169.830 km • 85 kW (116 PS) • Diesel
Volkswagen Caddy Kombi 4Motion 5 Sitzer Allrad,Unfallfrei • EZ 07/2013 • 150.000 km • 81 kW (110 PS) • Diesel
BMW 316 d Touring-Klimaautom.-Sitzheizung-Alu-,EZ 09/2013 • 150.000 km • 85 kW (116 PS) • Diesel
Volkswagen Golf VII Lim. Comfortline BMT,EZ 05/2013 • 151.109 km • 63 kW (86 PS) • Benzin
Volkswagen Golf 1.6 TDI Comfortline Variant 2018/04,Unfallfrei • EZ 04/2018 • 169.000 km • 85 kW (116 PS) • Diesel
Mercedes-Benz B 200°ILS°BiXenon°PDC°Klima°Navi°Shzg°Tempomat,EZ 06/2014 • 154.480 km • 115 kW (156 PS) • Benzin
Volkswagen Golf VII Variant Comfortline BMT Sauber Garantie,Unfallfrei • EZ 10/2013 • 151.000 km • 77 kW (105 PS) • Diesel
Volkswagen Golf Variant Trendline BMT/Start-Stopp Fest Pre,Unfallfrei • EZ 03/2018 • 170.688 km • 85 kW (116 PS) • Diesel
Mercedes-Benz Vito Kasten 109/110/111/114 CDI WORKER FWD kompa,Unfallfrei • EZ 11/2015 • 153.000 km • 65 kW (88 PS) • Diesel
Mercedes-Benz Vito CDI WORKER *TEMPOMAT*USB*LANG*,EZ 07/2015 • 162.803 km • 65 kW (88 PS) • Diesel
Volkswagen Golf 2.0 TDI BMT ALLSTAR Variant ALLSTAR.,Unfallfrei • EZ 09/2016 • 167.000 km • 110 kW (150 PS) • Diesel
Volkswagen Golf VII FREISPRECHEINRICHTUNG NAVI TOUCH SCREEN,EZ 07/2013 • 154.112 km • 90 kW (122 PS) • Benzin
Volkswagen Golf Plus VI Life| Steuerkette ersetzt|AHK|SHZ|,EZ 08/2013 • 153.500 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Variant Lounge BMT,EZ 11/2015 • 167.099 km • 81 kW (110 PS) • Diesel
Volkswagen Polo V Trendline,Unfallfrei • EZ 02/2016 • 152.000 km • 44 kW (60 PS) • Benzin
Volkswagen Polo V 1.2TSI ALLSTAR DSG/BMT/NAVI/SHZ/KLIMA,EZ 11/2015 • 157.311 km • 66 kW (90 PS) • Benzin
Volkswagen CC 1.4 TSI BlueMotion Technology,EZ 06/2014 • 151.552 km • 118 kW (160 PS) • Benzin
Opel Astra K Sports Tourer INNOVATION Start/Stop,Unfallfrei • EZ 04/2017 • 160.000 km • 100 kW (136 PS) • Diesel
Volkswagen Touran Comfortline/Klimaautomatik/7 Sitzer/EURO5,EZ 07/2014 • 150.000 km • 103 kW (140 PS) • Benzin
"Audi A1 Sportback Ultra 5 Türig , Navi",EZ 07/2015 • 150.000 km • 70 kW (95 PS) • Benzin
Volkswagen Golf VII 5-Türer 1.2 TSI BlueMotion Technology C,EZ 10/2014 • 163.000 km • 63 kW (86 PS) • Benzin
"Volkswagen Golf VII Variant Comfortline1,2 TSI DSG 165000km",Unfallfrei • EZ 10/2013 • 165.000 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VII 1.6 TDI Variant BMT*NAVI/TÜV&INSP.NEU*,EZ 01/2017 • 170.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf Sportsvan VII Comfortline BMT/Start-Stopp,Unfallfrei • EZ 01/2015 • 166.200 km • 92 kW (125 PS) • Benzin
BMW 116i M-Paket 5-trg. + NAVI/LMF/H&K/ALCANTARA,EZ 06/2014 • 152.600 km • 100 kW (136 PS) • Benzin
BMW 218i Active Tourer Navi AHK,Unfallfrei • EZ 09/2014 • 163.900 km • 100 kW (136 PS) • Benzin
Audi A1 1.0 SITZHZ ALU KLIMA GJREIFEN TÜV+SERVICE NEU,Unfallfrei • EZ 05/2016 • 155.000 km • 70 kW (95 PS) • Benzin
"Volkswagen Golf VII Lim. Comfortline BMT, NAVI, SITZHEIZUNG",EZ 09/2014 • 156.000 km • 81 kW (110 PS) • Diesel
Volkswagen up! move up! BMT/Start-Stopp *Klima*Shzg*TÜV*,EZ 06/2019 • 156.200 km • 55 kW (75 PS) • Benzin
Volkswagen Golf Sportsvan VII Comfortline BMT/Start-Stopp,Unfallfrei • EZ 07/2014 • 157.096 km • 81 kW (110 PS) • Diesel
"Volkswagen Golf VII Lim. Aus1.Hand,Klima,Servo,tüv-au neu",EZ 07/2014 • 158.900 km • 77 kW (105 PS) • Benzin
Volkswagen Passat CC 1.4 TSI,EZ 07/2014 • 150.244 km • 118 kW (160 PS) • Benzin
Volkswagen Golf VII Lim. 1.4 TSI Comfortline BMT PDC,EZ 04/2013 • 153.445 km • 103 kW (140 PS) • Benzin
Volkswagen Caddy Kasten EcoProfi BMT*1-Hand*ZusatzHzg*,EZ 04/2019 • 163.359 km • 55 kW (75 PS) • Diesel
Volkswagen Golf Sportsvan VII Comfortline BMT 1 Vorbesitzer,Unfallfrei • EZ 05/2016 • 164.345 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Lim. Cup BMT 1.2,EZ 11/2014 • 160.271 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT,EZ 11/2013 • 160.000 km • 90 kW (122 PS) • Benzin
Volkswagen Caddy 1.6 TDI Maxi Kasten beheizbare Spiegel,Unfallfrei • EZ 11/2014 • 151.783 km • 75 kW (102 PS) • Diesel
Volkswagen Golf VII Lim. Cup BMT,Unfallfrei • EZ 05/2014 • 163.584 km • 90 kW (122 PS) • Benzin
Volkswagen Polo 1.4 TDI SOUND/Navi/Klima/Tempomat/Bluetooth,EZ 07/2017 • 161.100 km • 66 kW (90 PS) • Diesel
BMW 118 Baureihe 1 Lim. 118i*AUT*NAVIGATION*EXPORT,EZ 06/2016 • 157.150 km • 100 kW (136 PS) • Benzin
Volkswagen Polo 1.0 TSI 85kW Highline NAVI/LED/KLIMA/SHZ,EZ 03/2018 • 169.000 km • 85 kW (116 PS) • Benzin
Volkswagen Touran 1.6 TDI Comfortline Navi Sitzhzg. AHK,EZ 06/2015 • 150.000 km • 77 kW (105 PS) • Diesel
Volkswagen Golf Variant 1.6 TDI Cup BMT DSG Navi Parkassist,EZ 06/2014 • 160.000 km • 77 kW (105 PS) • Diesel
Volkswagen Tiguan Trend & Fun BMT BREMSKRAFTVERSTÄRK. DEFEK,EZ 11/2013 • 150.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Var. 1.4TSI Cup RADIO TEMPOM SITZH PDC,Unfallfrei • EZ 12/2014 • 168.750 km • 92 kW (125 PS) • Benzin
Volkswagen Polo V Comfortline * 1.Hand * INSP+TÜV neu * Top,Unfallfrei • EZ 07/2015 • 150.000 km • 44 kW (60 PS) • Benzin
BMW 216d Active Tourer EURO 6b / GPS NAVI /BLUETOOTH,Unfallfrei • EZ 07/2017 • 159.000 km • 85 kW (116 PS) • Diesel
Volkswagen Polo VI Trendline,Unfallfrei • EZ 08/2019 • 174.170 km • 59 kW (80 PS) • Benzin
Mercedes-Benz B -Klasse 200 *SHZ*TEMPOMAT*NAVI*KAMERA*,EZ 02/2014 • 155.241 km • 115 kW (156 PS) • Benzin
BMW 116i Advantage. 5-trg.Klima*PDC*Alu Allwetter,Unfallfrei • EZ 02/2017 • 167.154 km • 80 kW (109 PS) • Benzin
Volkswagen Golf VII Lim. Trendline BMT Klima+SH+Scheckheft,EZ 06/2013 • 150.486 km • 77 kW (105 PS) • Diesel
Volkswagen Golf VII Lim. Trendline BMT/Start-Stopp,Unfallfrei • EZ 08/2017 • 172.713 km • 81 kW (110 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT,Unfallfrei • EZ 08/2013 • 151.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII 1.2 TSI BMT Comfortline*2.HAND,EZ 07/2014 • 160.500 km • 77 kW (105 PS) • Benzin
Ford Focus Turnier Business Navi*Led*Zahnriemen Neu*,EZ 06/2015 • 158.382 km • 74 kW (101 PS) • Benzin
Volkswagen Golf 1.6 TDI Comfortline Led Alu,Unfallfrei • EZ 04/2019 • 172.000 km • 85 kW (116 PS) • Diesel
Volkswagen Golf Cabriolet 6 1.2 TSI Klimaauto Tempo SHZ PDC,EZ 07/2012 • 151.500 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VII -KLIMA-SCHECKHEFT-SCHIEBEDACH-1.HAND,Unfallfrei • EZ 08/2014 • 164.480 km • 77 kW (105 PS) • Benzin
Volkswagen Polo V *2.HD~TÜV 03/26~BLUETOOTH~KLIMA*,Unfallfrei • EZ 08/2015 • 154.500 km • 44 kW (60 PS) • Benzin
Volkswagen Golf VII Lim. Highline BMT,Unfallfrei • EZ 08/2013 • 156.800 km • 90 kW (122 PS) • Benzin
Volkswagen Caddy Kasten Maxi 1.6 TDI/Klima/ ZR /WA Neu,Unfallfrei • EZ 06/2015 • 155.766 km • 75 kW (102 PS) • Diesel
Volkswagen Golf VII Variant Highline *SHZG*HU/AU NEU,EZ 09/2013 • 156.100 km • 110 kW (150 PS) • Diesel
Volkswagen Golf VII Variant Trendline BMT*Parkpilot*,EZ 10/2013 • 161.500 km • 63 kW (86 PS) • Benzin
Mercedes-Benz Citan Mixto 109 CDI extralang,EZ 10/2016 • 160.980 km • 66 kW (90 PS) • Diesel
Volkswagen Golf VII Lim. Cup BMT/1.Hand/Klima/,Unfallfrei • EZ 05/2014 • 160.000 km • 63 kW (86 PS) • Benzin
BMW 116d Advantage,Unfallfrei • EZ 06/2017 • 160.000 km • 85 kW (116 PS) • Diesel
Volkswagen Polo V GTI DSG/Klima/Xenon/Navi/FSE/8-fach,EZ 02/2014 • 151.000 km • 132 kW (179 PS) • Benzin
Volkswagen Polo VI Comfortline 1.0 TSI Bluet.Tempomat bergf,EZ 02/2020 • 163.797 km • 70 kW (95 PS) • Benzin
Volkswagen Polo VI Trendline*Klima*TÜV*Sitzheizung*1.Hand,Unfallfrei • EZ 02/2018 • 165.000 km • 48 kW (65 PS) • Benzin
Volkswagen Golf VII Allstar BMT Kamera Navi Ahk Standheizun,EZ 05/2016 • 169.250 km • 81 kW (110 PS) • Diesel
Volkswagen Golf Plus VI Life*Tempomat*Sitzheizung*1. Hand,EZ 10/2013 • 156.000 km • 77 kW (105 PS) • Benzin
Volkswagen up! move up!,Unfallfrei • EZ 04/2014 • 154.200 km • 44 kW (60 PS) • Benzin
